date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-05-26,2025-05-26 09:15:00,25238.0,25250,25350,25150,2025-05-29,73.95,267.95,2025-05-26 09:25:00,25280.0,87.8,253.3,Target,-0.799999999999983
2025-05-27,2025-05-27 09:15:00,25172.0,25150,25250,25050,2025-05-29,91.45,262.15,2025-05-27 09:25:00,25051.7,66.7,348.75,Target,61.85000000000002
2025-05-28,2025-05-28 09:15:00,24919.8,24900,25000,24800,2025-05-29,124.05,187.15,2025-05-28 09:22:00,25073.2,128.6,172.4,SL,-10.200000000000003
2025-05-29,2025-05-29 09:15:00,25113.5,25100,25200,25000,2025-06-05,132.2,299.9,2025-05-29 09:20:00,24868.6,118.4,302.4,SL,-11.299999999999983
2025-05-30,2025-05-30 09:15:00,25066.3,25050,25150,24950,2025-06-05,86.4,262.2,2025-05-30 09:20:00,24944.0,87.3,250.55,SL,-10.749999999999986
2025-06-02,2025-06-02 09:15:00,24964.5,24950,25050,24850,2025-06-05,65.2,364.45,2025-06-02 09:25:00,24890.1,48.35,404.1,Target,22.800000000000033
2025-06-03,2025-06-03 09:15:00,25155.0,25150,25250,25050,2025-06-05,51.45,335.8,2025-06-03 09:25:00,24784.8,42.35,444.15,Target,99.24999999999997
2025-06-04,2025-06-04 09:15:00,24698.0,24700,24800,24600,2025-06-05,61.9,133.05,2025-06-04 09:16:00,24938.1,52.7,119.35,SL,-22.900000000000013
2025-06-05,2025-06-05 09:15:00,24755.1,24750,24850,24650,2025-06-12,132.6,186.05,2025-06-05 09:20:00,24971.2,121.45,190.2,SL,-7.000000000000014
2025-06-06,2025-06-06 09:15:00,24958.4,24950,25050,24850,2025-06-12,72.8,234.65,2025-06-06 09:17:00,24821.8,66.8,231.25,SL,-9.400000000000006
2025-06-09,2025-06-09 09:15:00,25430.0,25450,25550,25350,2025-06-12,26.2,299.4,2025-06-09 09:22:00,25320.0,26.1,289.65,SL,-9.849999999999998
2025-06-10,2025-06-10 09:15:00,25458.3,25450,25550,25350,2025-06-12,16.7,252.0,2025-06-10 09:24:00,25452.0,11.8,248.05,SL,-8.849999999999987
2025-06-11,2025-06-11 09:15:00,25163.3,25150,25250,25050,2025-06-12,26.05,61.8,2025-06-11 09:16:00,25413.2,25.3,55.4,SL,-7.149999999999999
2025-06-12,2025-06-12 09:15:00,25421.1,25400,25500,25300,2025-06-19,50.8,249.65,2025-06-12 09:17:00,25450.0,55.95,232.4,SL,-12.099999999999994
2025-06-13,2025-06-13 09:15:00,24866.6,24850,24950,24750,2025-06-19,66.0,312.8,2025-06-13 09:17:00,24782.8,72.65,286.2,SL,-19.950000000000017
2025-06-16,2025-06-16 09:15:00,25040.0,25050,25150,24950,2025-06-19,28.9,252.0,2025-06-16 09:17:00,25065.1,32.85,236.0,SL,-12.049999999999997
2025-06-17,2025-06-17 09:15:00,25080.0,25100,25200,25000,2025-06-19,31.2,164.9,2025-06-17 09:16:00,25197.5,35.55,154.25,SL,-6.300000000000008
2025-06-18,2025-06-18 09:15:00,24951.1,24950,25050,24850,2025-06-19,20.95,121.75,2025-06-18 09:16:00,25081.7,24.0,114.8,SL,-3.900000000000002
2025-06-19,2025-06-19 09:15:00,25015.0,25000,25100,24900,2025-06-26,75.05,248.15,2025-06-19 09:16:00,25049.4,81.25,233.05,SL,-8.899999999999991
2025-06-20,2025-06-20 09:15:00,25093.0,25100,25200,25000,2025-06-26,52.05,230.85,2025-06-20 09:18:00,24890.0,50.0,224.7,SL,-8.200000000000003
2025-06-23,2025-06-23 09:15:00,25191.1,25200,25300,25100,2025-06-26,36.25,206.7,2025-06-23 09:25:00,24914.5,23.0,252.2,Target,32.25
2025-06-24,2025-06-24 09:15:00,25441.3,25450,25550,25350,2025-06-26,24.0,177.6,2025-06-24 09:19:00,25452.7,23.3,170.7,SL,-7.600000000000005
2025-06-25,2025-06-25 09:15:00,25248.7,25250,25350,25150,2025-06-26,26.35,90.7,2025-06-25 09:17:00,25389.0,28.45,84.6,SL,-4.000000000000011
2025-06-26,2025-06-26 09:15:00,25500.0,25500,25600,25400,2025-07-03,59.4,233.35,2025-06-26 09:25:00,25545.0,75.4,216.7,Target,-0.6499999999999986
2025-06-27,2025-06-27 09:15:00,25833.8,25850,25950,25750,2025-07-03,48.4,224.25,2025-06-27 09:25:00,25689.9,41.35,246.3,Target,15.000000000000014
2025-06-30,2025-06-30 09:15:00,25866.0,25850,25950,25750,2025-07-03,33.0,177.65,2025-06-30 09:25:00,25764.8,34.25,179.45,Target,3.049999999999983
2025-07-01,2025-07-01 09:15:00,25877.1,25900,26000,25800,2025-07-03,11.95,314.4,2025-07-01 09:19:00,25623.7,13.65,305.0,SL,-7.699999999999976
